Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Number),Deaths - Cocaine use disorders - Sex: Both - Age: All Ages (Number),Deaths - Other drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Amphetamine use disorders - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1990,73,3,15,2
Afghanistan,AFG,1991,80,3,16,2
Afghanistan,AFG,1992,93,4,19,3
Afghanistan,AFG,1993,104,4,21,3
Afghanistan,AFG,1994,112,5,22,3
Afghanistan,AFG,1995,119,5,23,4
Afghanistan,AFG,1996,126,5,25,4
Afghanistan,AFG,1997,133,5,26,4
Afghanistan,AFG,1998,137,5,27,4
Afghanistan,AFG,1999,141,5,28,4
Afghanistan,AFG,2000,147,6,29,4
Afghanistan,AFG,2001,156,6,30,4
Afghanistan,AFG,2002,160,6,31,5
Afghanistan,AFG,2003,171,7,33,5
Afghanistan,AFG,2004,182,7,35,5
Afghanistan,AFG,2005,189,8,37,5
Afghanistan,AFG,2006,194,8,38,5
Afghanistan,AFG,2007,199,8,39,6
Afghanistan,AFG,2008,206,9,40,6
Afghanistan,AFG,2009,213,9,42,6
Afghanistan,AFG,2010,221,10,44,6
Afghanistan,AFG,2011,230,10,46,7
Afghanistan,AFG,2012,239,11,48,7
Afghanistan,AFG,2013,247,11,50,7
Afghanistan,AFG,2014,255,12,52,8
Afghanistan,AFG,2015,264,13,54,8
Afghanistan,AFG,2016,275,14,57,8
Afghanistan,AFG,2017,288,14,61,9
Afghanistan,AFG,2018,301,15,64,10
Afghanistan,AFG,2019,313,16,67,10
Africa,,1990,949,66,333,31
Africa,,1991,996,70,354,33
Africa,,1992,1062,76,386,35
Africa,,1993,1108,78,393,36
Africa,,1994,1165,83,416,39
Africa,,1995,1217,87,433,41
Africa,,1996,1261,90,445,43
Africa,,1997,1330,98,485,46
Africa,,1998,1384,100,501,49
Africa,,1999,1430,101,519,50
Africa,,2000,1475,105,547,52
Africa,,2001,1506,107,554,53
Africa,,2002,1560,108,557,55
Africa,,2003,1605,111,564,57
Africa,,2004,1650,112,565,58
Africa,,2005,1695,115,563,60
Africa,,2006,1748,119,565,62
Africa,,2007,1818,124,561,65
Africa,,2008,1910,130,557,68
Africa,,2009,2002,137,566,71
Africa,,2010,2061,142,569,74
Africa,,2011,2139,147,581,77
Africa,,2012,2212,153,596,79
Africa,,2013,2288,158,615,82
Africa,,2014,2379,165,638,86
Africa,,2015,2455,172,660,90
Africa,,2016,2546,178,685,93
Africa,,2017,2647,186,717,98
Africa,,2018,2759,195,755,103
Africa,,2019,2858,204,787,108
African Region,,1990,714,53,279,22
African Region,,1991,747,56,295,23
African Region,,1992,791,61,322,25
African Region,,1993,816,61,323,25
African Region,,1994,857,65,342,27
African Region,,1995,890,68,354,29
African Region,,1996,914,70,360,29
African Region,,1997,960,76,394,32
African Region,,1998,994,77,405,33
African Region,,1999,1018,76,416,34
African Region,,2000,1044,79,439,35
African Region,,2001,1054,79,440,35
African Region,,2002,1088,79,437,36
African Region,,2003,1116,79,438,37
African Region,,2004,1146,80,435,38
African Region,,2005,1174,80,427,39
African Region,,2006,1208,83,423,40
African Region,,2007,1249,85,409,41
African Region,,2008,1313,88,396,43
African Region,,2009,1376,91,395,44
African Region,,2010,1411,94,390,45
African Region,,2011,1465,96,393,46
African Region,,2012,1515,99,400,48
African Region,,2013,1576,103,412,50
African Region,,2014,1641,108,426,52
African Region,,2015,1692,112,439,54
African Region,,2016,1756,116,454,56
African Region,,2017,1828,121,475,59
African Region,,2018,1910,127,501,62
African Region,,2019,1983,132,522,65
African Union,,1990,949,66,333,31
African Union,,1991,996,70,354,33
African Union,,1992,1062,76,386,35
African Union,,1993,1108,78,393,36
African Union,,1994,1165,83,416,39
African Union,,1995,1217,87,433,41
African Union,,1996,1261,90,445,43
African Union,,1997,1330,98,485,46
African Union,,1998,1384,100,501,49
African Union,,1999,1430,101,519,50
African Union,,2000,1475,105,547,52
African Union,,2001,1506,107,554,53
African Union,,2002,1560,108,557,55
African Union,,2003,1605,111,564,57
African Union,,2004,1650,112,565,58
African Union,,2005,1695,115,563,60
African Union,,2006,1748,119,565,62
African Union,,2007,1818,124,561,65
African Union,,2008,1910,130,557,68
African Union,,2009,2002,137,566,71
African Union,,2010,2061,142,569,74
African Union,,2011,2139,147,581,77
African Union,,2012,2212,153,596,79
African Union,,2013,2288,158,615,82
African Union,,2014,2379,165,638,86
African Union,,2015,2455,172,660,90
African Union,,2016,2546,178,685,93
African Union,,2017,2647,186,717,98
African Union,,2018,2759,195,755,103
African Union,,2019,2858,204,787,108
Albania,ALB,1990,4,0,1,0
Albania,ALB,1991,5,0,1,0
Albania,ALB,1992,6,0,1,0
Albania,ALB,1993,8,0,2,0
Albania,ALB,1994,13,0,2,1
Albania,ALB,1995,14,0,2,1
Albania,ALB,1996,14,0,2,1
Albania,ALB,1997,13,0,2,1
Albania,ALB,1998,17,0,3,1
Albania,ALB,1999,14,0,3,1
Albania,ALB,2000,17,0,3,1
Albania,ALB,2001,22,0,3,1
Albania,ALB,2002,25,1,3,1
Albania,ALB,2003,25,1,3,1
Albania,ALB,2004,25,1,3,1
Albania,ALB,2005,19,0,3,1
Albania,ALB,2006,18,0,2,1
Albania,ALB,2007,19,0,3,1
Albania,ALB,2008,19,0,3,1
Albania,ALB,2009,15,0,2,1
Albania,ALB,2010,17,0,3,1
Albania,ALB,2011,18,1,3,1
Albania,ALB,2012,18,1,3,1
Albania,ALB,2013,19,1,3,1
Albania,ALB,2014,20,1,3,1
Albania,ALB,2015,21,1,3,1
Albania,ALB,2016,22,1,4,1
Albania,ALB,2017,22,1,4,1
Albania,ALB,2018,23,1,4,1
Albania,ALB,2019,23,1,4,1
Algeria,DZA,1990,125,8,32,5
Algeria,DZA,1991,131,9,34,6
Algeria,DZA,1992,140,9,37,6
Algeria,DZA,1993,149,10,40,6
Algeria,DZA,1994,162,11,44,7
Algeria,DZA,1995,173,11,47,8
Algeria,DZA,1996,185,12,50,8
Algeria,DZA,1997,198,13,54,9
Algeria,DZA,1998,209,14,57,9
Algeria,DZA,1999,224,15,61,10
Algeria,DZA,2000,236,16,64,10
